名称,品质,商城价格,商城价格2,具体描述,物品类型
"""锁芯""",奇珍,1388回声,,黑色的“锁”，困住曾经红色的“芯”（[限定]时装，周边礼包获得）,奇珍品质时装
221B书桌,,950回声,,,家具
221B药剂台,,950回声,,,家具
“百科全书”,,60回声,,了解智慧不仅仅依靠眼睛，了解人类更是如此。,商城限时时装
“暴君”,独特,60回声,,规则，是束缚也是保护。,独特品质时装
“冰鳐”,,1888回声,8388碎片,,稀世随身物品
“裁缝夫人”,,1388回声,,“你认识她，就如同每个年幼或不再年幼，真实或虚构的孩子那样——她用针线缝出你幻想中的好朋友，就与你期待的如出一辙。”,奇珍时装
“朝圣者”,,1388回声,,人们口口相传那个关于海妖的传说——为她献上最纯正的恶，她将会赐予你等同于她的力量。,奇珍时装
“慈善家” 求抱抱,,158回声,,求抱抱动作，“慈善家”专属,限时个性动作
“慈善家” 数金币,,158回声,,“慈善家”匹配大厅动作，数金币,独特等待动作
“答案”,独特,60回声,,提出正确的问题，往往是寻求答案的过程中最至关重要的一步。,独特品质时装
“大人物”,,60回声,,嘿，机灵点，“大人物”说出来的从来都不是他想要的，那些没有说出来的才是。,商城限时时装
“达阵”,独特,60回声,,球场的输赢早已无关紧要，此刻的冲锋只为证明：有些真相，本就该撞碎规则。,独特品质时装
“厄运”,,1388回声,,祭司抽出书匣里尘封的塔罗，排列出命运不祥的纹路。,奇珍时装
“非卖品”,奇珍,1388回声,,里奥·贝克成了这次展销会最抢眼的展架，一身行头都由最佳的羊毛纺成——还有那条手织的红围巾，那是一件珍贵的“非卖品”。,奇珍品质时装
“干杯”,,60回声,,被厄运选中前的每一天，都值得为暂时的侥幸举杯。,商城限时时装
“告诫书”,独特,60回声,,书页上写就的冰冷铁律，是他亲手为自己铸下的桎梏。,独特品质时装
“光明”,稀世,1888回声,8388碎片,游鱼是什么？飞鸟又是什么？<br>在黑暗中，陪伴她的只有那微弱的“亮光”和她自己的想象力。,稀世品质随身物品
“鬼烛”,稀世,2888回声,12888碎片,漫无尽头的夜色中，她点燃一支烛火，引导那些徘徊不去的残魂，找到最终的解脱。,稀世品质时装
“好孩子”,,1388回声,,“——猜猜看，现在是谁醒着？”,奇珍时装
